Gene,Log2FoldChange,pvalue
ENSG00000007516,-0.07247417,0.496273369
ENSG00000007520,-0.089001876,0.417775848
ENSG00000007541,-0.12776269,0.26001601
ENSG00000007545,-0.077840141,0.440553459
ENSG00000007866,-0.529771672,0.000225554
ENSG00000007923,-0.027072204,0.795077814
ENSG00000007933,-0.019109081,0.761434171
ENSG00000007944,0.443769764,0.000594505
ENSG00000007952,-0.146180606,0.226851699
ENSG00000008018,-0.037329556,0.670589627
ENSG00000008056,-0.23565978,0.112748779
ENSG00000008083,-0.398675902,0.00125142
ENSG00000008086,0.107443049,0.432005231
ENSG00000008118,0.020057597,0.807444578
ENSG00000008128,0.054083431,0.634464258
ENSG00000008130,-0.748258453,4.44E-08
ENSG00000008226,-0.005331078,0.944629196
ENSG00000008256,-1.137612306,3.74E-09
ENSG00000008277,0.102689762,0.424471405
ENSG00000008282,-0.241683947,0.025911572
ENSG00000008283,-0.010391117,0.91747587
ENSG00000008294,0.019296181,0.781826889
ENSG00000008300,-0.15054224,0.281128759
ENSG00000008311,-1.059048989,6.41E-11
ENSG00000008323,-0.092043334,0.345445303
ENSG00000008324,-0.388147546,0.021927754
ENSG00000008382,-0.050478745,0.691444001
ENSG00000008394,-0.014692682,0.841935768
ENSG00000008405,-0.055632859,0.640898083
ENSG00000008438,-0.090205354,0.07134563
ENSG00000008441,0.280505527,0.014782954
ENSG00000008513,0.454193523,0.007241429
ENSG00000008516,0.041005096,0.543162699
ENSG00000008517,0.388451428,0.038855671
ENSG00000008710,-0.403988128,0.006125857
ENSG00000008735,-0.130895986,0.298527693
ENSG00000008838,0.019190329,0.822962728
ENSG00000008853,-0.485852505,0.001242092
ENSG00000008869,-0.03841874,0.642146311
ENSG00000008952,-0.152083718,0.090766857
ENSG00000008988,0.021527804,0.815557462
ENSG00000009307,-0.007173306,0.932755142
ENSG00000009335,-0.195119317,0.005224186
ENSG00000009413,-1.072195983,2.84E-11
ENSG00000009694,0.040276316,0.416860118
ENSG00000009724,0.23843098,0.121577065
ENSG00000009780,-0.473204271,0.004623075
ENSG00000009790,0.066870756,0.569441799
ENSG00000009830,-0.073917514,0.43825178
ENSG00000009844,0.047435488,0.591948693
ENSG00000009950,-0.069007979,0.09948904
ENSG00000009954,0.038853809,0.615534664
ENSG00000010017,-0.67890599,3.85E-06
ENSG00000010030,0.31855661,0.054486107
ENSG00000010072,0.052545178,0.621168657
ENSG00000010165,0.020589688,0.833674872
ENSG00000010219,0.193338036,0.087422262
ENSG00000010244,-0.095203636,0.368672093
ENSG00000010256,-0.436882425,2.34E-05
ENSG00000010270,-0.036324743,0.734059321
ENSG00000010278,-0.453201987,0.006553409
ENSG00000010292,-0.026270612,0.784921561
ENSG00000010295,0.038999621,0.767109935
ENSG00000010310,0.623053294,0.014896284
ENSG00000010318,0.004493938,0.973748981
ENSG00000010322,0.229582142,0.025833398
ENSG00000010361,-0.093158763,0.478516934
ENSG00000010404,-0.140699725,0.272546536
ENSG00000010438,-0.011706257,0.892133471
ENSG00000010539,0.090662401,0.434636984
ENSG00000010610,0.035725651,0.7110637
ENSG00000010626,0.189518096,0.119922412
ENSG00000010704,0.10567207,0.385353174
ENSG00000010803,0.005263416,0.946108493
ENSG00000010810,-0.036161562,0.766536795
ENSG00000010818,0.310303221,0.003745292
ENSG00000010932,-0.020998874,0.679910619
ENSG00000011007,-0.157365887,0.079061146
ENSG00000011009,-0.195101694,0.041917852
ENSG00000011021,-0.074496181,0.494838547
ENSG00000011028,0.195380937,0.049115394
ENSG00000011105,-0.203216046,0.131379228
ENSG00000011114,-0.054322018,0.500740427
ENSG00000011132,-0.085483662,0.424838166
ENSG00000011143,0.215001195,0.121777549
ENSG00000011198,-1.018281024,6.91E-08
ENSG00000011243,0.157217533,0.114141262
ENSG00000011258,0.251518722,0.032170988
ENSG00000011260,-0.189191702,0.125413155
ENSG00000011275,-0.012073259,0.885376244
ENSG00000011295,-0.11028881,0.260098727
ENSG00000011304,-0.308457951,0.003804903
ENSG00000011332,-0.035987647,0.733402717
ENSG00000011347,0.829115868,4.84E-05
ENSG00000011376,-0.020268317,0.868870584
ENSG00000011405,-0.29456177,0.018137638
ENSG00000011422,-0.02465478,0.831029067
ENSG00000011426,0.010028156,0.92497435
ENSG00000011451,-0.067923117,0.486141791
ENSG00000011454,-0.379250343,0.004543631
ENSG00000011465,0.038360928,0.70760824
ENSG00000011478,-0.623563867,2.58E-05
ENSG00000011485,-0.520121772,6.39E-07
ENSG00000011523,-0.128262714,0.238993463
ENSG00000011566,-0.750869677,3.82E-06
ENSG00000011590,-0.014693422,0.774829204
ENSG00000011600,-0.003821365,0.925045527
ENSG00000011638,-0.08011186,0.511727242
ENSG00000012048,1.162470038,3.28E-12
ENSG00000012061,-0.012853057,0.909183112
ENSG00000012171,0.667671749,7.37E-05
ENSG00000012174,-0.105710486,0.207430916
ENSG00000012211,-0.132758792,0.282327144
ENSG00000012232,-0.080558046,0.431422258
ENSG00000012660,-0.354677074,0.007259373
ENSG00000012817,0.002726221,0.943188675
ENSG00000012822,-0.360004354,0.00429079
ENSG00000012963,0.078715972,0.521553575
ENSG00000012983,0.080671307,0.424423693
ENSG00000013016,-0.325157452,0.055786281
ENSG00000013275,-0.114096647,0.276549312
ENSG00000013288,-0.053075545,0.664327891
ENSG00000013293,2.744480424,3.50E-15
ENSG00000013297,1.636160086,7.16E-11
ENSG00000013306,0.012887959,0.922147488
ENSG00000013364,-0.116068116,0.241661391
ENSG00000013374,-0.142667179,0.169781238
ENSG00000013375,0.222258314,0.061490349
ENSG00000013392,0.196349718,0.132208134
ENSG00000013441,-0.215475249,0.060115882
ENSG00000013503,-0.079065229,0.461375775
ENSG00000013523,0.273893837,0.006839714
ENSG00000013561,-0.283721494,0.004582624
ENSG00000013563,-0.002722429,0.981665359
ENSG00000013573,0.312694251,0.057357851
ENSG00000013583,-0.349702399,0.004766741
ENSG00000013588,0.078648826,0.557182152
ENSG00000013619,-0.303524877,0.007079517
ENSG00000013810,-0.069094241,0.599856415
ENSG00000014123,0.094052889,0.287915811
ENSG00000014138,0.159159875,0.21024798
ENSG00000014164,-0.00080513,0.993149843
ENSG00000014216,-0.249464402,0.00112504
ENSG00000014257,0.167232273,0.183977463
ENSG00000014641,0.064144051,0.448171949
ENSG00000014824,-0.106880041,0.345050381
ENSG00000014914,0.312226302,0.038085844
ENSG00000014919,0.074264669,0.421728226
ENSG00000015133,-0.067015811,0.42541225
ENSG00000015153,-0.329946308,0.015359244
ENSG00000015171,0.027602217,0.721851452
ENSG00000015285,0.167377593,0.085417488
ENSG00000015413,-0.109552343,0.008394383
ENSG00000015475,-0.000635838,0.999554417
ENSG00000015479,0.135629988,0.044912845
ENSG00000015520,2.096053488,0.000374438
ENSG00000015532,-0.043174608,0.633638655
ENSG00000015568,0.167625712,0.165763468
ENSG00000015676,-0.025899779,0.768483487
ENSG00000016391,1.827162536,6.78E-06
ENSG00000016402,0.100650164,0.214350153
ENSG00000016864,-0.063755507,0.586722679
ENSG00000017260,0.125473705,0.222439456
ENSG00000017427,0.091970242,0.433680093
ENSG00000017483,0.814267939,0.000326494
ENSG00000017621,0.084772749,0.509247926
ENSG00000017797,-0.538163937,3.69E-08
ENSG00000018189,0.281247133,0.00352471
ENSG00000018236,-0.223016346,0.136047986
ENSG00000018280,0.00163949,0.986497877
ENSG00000018408,-0.090488298,0.380529473
ENSG00000018510,-0.130729977,0.148927859
ENSG00000018610,0.094420109,0.314731227
ENSG00000018625,0.057804664,0.352757533
ENSG00000018699,-0.003995317,0.970827567
ENSG00000018869,0.047412233,0.715300957
ENSG00000019102,-0.031737336,0.595011765
ENSG00000019144,-0.321296859,0.006468308
ENSG00000019186,3.901680315,1.97E-05
ENSG00000019485,-0.299724668,0.052933929
ENSG00000019549,-0.071605801,0.575187381
ENSG00000019582,0.127867967,0.235537928
ENSG00000019991,0.884670962,1.18E-05
ENSG00000019995,-0.8959319,4.21E-16
ENSG00000020129,0.432150779,0.001282599
ENSG00000020181,0.267440269,0.032471995
ENSG00000020256,0.227540322,0.067056884
ENSG00000020426,-0.03914099,0.751392521
ENSG00000020577,-1.172871827,3.24E-16
ENSG00000020633,-0.018302448,0.715950781
ENSG00000020922,-0.044416758,0.666668852
ENSG00000021300,0.120492993,0.341225788
ENSG00000021355,-0.56626111,4.06E-09
ENSG00000021488,0.005175005,0.915349381
ENSG00000021574,-0.06506719,0.569815082
ENSG00000021645,-1.293368454,0.003053843
ENSG00000021762,-0.333709421,0.01758717
ENSG00000021776,-0.205515008,0.017390095
ENSG00000021826,0.207852843,0.132452333
ENSG00000022267,-0.420996025,0.004284626
ENSG00000022277,-0.090937636,0.298186465
ENSG00000022567,-0.220608366,0.072905122
ENSG00000022840,-0.258738258,0.000731734
ENSG00000022976,0.143691431,0.239998275
ENSG00000023041,-0.17664872,0.020398897
ENSG00000023171,0.217674592,0.126152761
ENSG00000023191,-0.09647789,0.437774861
ENSG00000023228,-0.112289409,0.143319801
ENSG00000023287,-0.102400021,0.329824601
ENSG00000023318,-0.210332895,0.009812754
ENSG00000023330,0.208919577,0.094408487
ENSG00000023445,-0.227852131,0.124550634
ENSG00000023516,0.044981459,0.596498903
ENSG00000023572,-0.167310436,0.22356589
ENSG00000023608,-0.613120595,0.000964119
ENSG00000023697,-0.289049721,0.002433655
ENSG00000023734,-0.238344348,0.022576233
ENSG00000023839,-0.082838564,0.451035497
ENSG00000023892,0.042925813,0.614283587
ENSG00000023902,-0.34334028,0.010526803
ENSG00000023909,-1.184098863,4.68E-10
ENSG00000024048,-0.117587819,0.171364957
ENSG00000024422,-0.148312524,0.134810514
ENSG00000024526,0.07113749,0.536666765
ENSG00000024862,-0.116133882,0.363081748
ENSG00000025039,-0.116136655,0.238754312
ENSG00000025156,0.201602766,0.064142293
ENSG00000025293,0.101575331,0.22847219
ENSG00000025423,1.926549722,1.64E-05
ENSG00000025434,-0.124015218,0.285063054
ENSG00000025708,-1.116134295,4.54E-05
ENSG00000025770,0.061901346,0.611743606
ENSG00000025772,0.377687936,0.022633702
ENSG00000025796,0.038338093,0.740369617
ENSG00000025800,-0.128355305,0.166464333
ENSG00000026025,0.292523368,0.033052822
ENSG00000026036,0.142859398,0.295174124
ENSG00000026103,0.035693478,0.738851386
ENSG00000026297,0.357924369,0.011227118
ENSG00000026508,0.119400835,0.337002558
ENSG00000026559,0.118971075,0.267616035
ENSG00000026652,0.102989192,0.430722851
ENSG00000026950,0.846884616,2.18E-10
ENSG00000027001,0.279652034,0.029126558
ENSG00000027075,-0.482156155,0.021919877
ENSG00000027697,-0.352081352,0.003261498
ENSG00000027847,0.094869425,0.401023392
ENSG00000028116,-0.156089077,0.184412964
ENSG00000028137,-0.706027971,0.000167756
ENSG00000028203,-0.004533393,0.97113367
ENSG00000028277,1.720212767,0.000107535
ENSG00000028310,-0.01937703,0.849697504
ENSG00000028528,0.067034378,0.351375327
ENSG00000028839,0.287818495,0.014198401
ENSG00000029153,0.024565918,0.823074891
ENSG00000029363,0.041388235,0.622853329
ENSG00000029364,0.100731385,0.274014377
ENSG00000029534,0.05907949,0.625692171
ENSG00000029639,0.009927871,0.937479191
ENSG00000029725,-0.005973763,0.949948967
ENSG00000029993,0.304487974,0.023681561
ENSG00000030066,-0.035096212,0.698656717
ENSG00000030110,-0.105705861,0.348319724
ENSG00000030304,-0.023396231,0.840549595
ENSG00000030419,-0.234253592,0.111054628
ENSG00000030582,0.15293762,0.145598686
ENSG00000031003,-0.037649578,0.712342964
ENSG00000031081,0.564040007,0.001807859
ENSG00000031544,-0.005805971,0.931107089
ENSG00000031691,-0.048205135,0.710496839
ENSG00000031698,0.511515942,1.52E-08
ENSG00000031823,0.360549916,0.000764999
ENSG00000032219,-0.008115538,0.935964783
ENSG00000032389,-0.021326798,0.86540009
ENSG00000032444,-0.162989632,0.079695492
ENSG00000032742,0.591755978,7.80E-06
ENSG00000033011,-0.0403908,0.661313101
ENSG00000033030,-0.095611035,0.347555731
ENSG00000033050,-0.283606701,0.024710292
ENSG00000033100,-0.048382113,0.65463339
ENSG00000033122,0.066491541,0.490435674
ENSG00000033170,0.214023237,0.085703472
ENSG00000033178,0.202942813,0.044332148
ENSG00000033327,-0.337206935,0.003053548
ENSG00000033627,-0.361128544,0.015957683
ENSG00000033800,0.035605865,0.695558947
ENSG00000033867,0.883353439,1.61E-09
ENSG00000034053,-0.008984314,0.924832428
ENSG00000034063,0.241455984,0.117870899
ENSG00000034152,-0.744113297,9.39E-05
ENSG00000034239,0.03274434,0.709808835
ENSG00000034510,0.101243961,0.357227474
ENSG00000034533,0.577699381,0.000521823
ENSG00000034677,-0.155375182,0.205580904
ENSG00000034693,0.326923927,0.017137478
ENSG00000034713,-0.348674153,2.72E-05
ENSG00000034971,-0.007449622,0.912000387
ENSG00000035115,0.428275538,4.79E-05
ENSG00000035141,-0.160401933,0.142132473
ENSG00000035403,-0.769495133,2.16E-05
ENSG00000035499,0.168809161,0.146028015
ENSG00000035664,-1.285008951,0.000387525
ENSG00000035681,0.314153508,0.000202215
ENSG00000035687,0.130794325,0.227787396
ENSG00000035862,-0.12162822,0.280018822
ENSG00000035928,0.127992339,0.147118833
ENSG00000036054,-0.160288007,0.080440728
ENSG00000036257,-0.006219618,0.946567392
ENSG00000036448,0.064208587,0.518736463
ENSG00000036530,0.174324513,0.200117419
ENSG00000036549,0.015459148,0.861580637
ENSG00000036672,-0.119667727,0.273903756
ENSG00000037042,0.118339135,0.191723233
ENSG00000037241,-0.265700067,0.024151312
ENSG00000037280,-0.03152739,0.467306297
ENSG00000037474,-0.098952334,0.410294374
ENSG00000037637,-0.322999276,0.003310134
ENSG00000037749,-0.217097467,0.012978609
ENSG00000037757,-0.037029462,0.770832395
ENSG00000037897,0.097479688,0.469885863
ENSG00000037965,0.021534321,0.782152542
ENSG00000038002,0.162593057,0.225069769
ENSG00000038210,-0.006848578,0.954230785
ENSG00000038219,0.073534382,0.452805588
ENSG00000038274,-0.483640262,5.26E-05
ENSG00000038295,0.049747599,0.373802616
ENSG00000038358,-0.093048201,0.304696444
ENSG00000038382,0.154580349,0.154537153
ENSG00000038427,0.294319139,0.021417942
ENSG00000038532,0.175088262,0.131135583
ENSG00000038945,0.134215065,0.220982841
ENSG00000039123,0.012942018,0.859973697
ENSG00000039139,0.060374824,0.643870244
ENSG00000039319,0.097392581,0.352294168
ENSG00000039523,-0.17955301,0.121237427
ENSG00000039537,-0.230177793,0.028636374
ENSG00000039560,-0.441676619,0.004061292
ENSG00000039600,-0.042995889,0.600563999
ENSG00000039650,0.207885812,0.128636332
ENSG00000040199,-0.259956071,0.057138393
ENSG00000040275,0.142498215,0.289548941
ENSG00000040341,0.062600838,0.536304599
ENSG00000040487,-0.245812713,0.031111618
ENSG00000040531,0.003506593,0.976222382
ENSG00000040608,0.052232031,0.285665507
ENSG00000040633,0.183088014,0.147218992
ENSG00000040731,0.990889238,0.007146878
ENSG00000040933,0.005053659,0.957602149
ENSG00000041353,0.092451155,NA
ENSG00000041357,0.018317093,0.861599961
ENSG00000041515,-1.360431009,0.001002377
ENSG00000041802,-0.158407841,0.126948395
ENSG00000041880,0.043074853,0.721553604
ENSG00000041982,0.151567486,0.175066749
ENSG00000041988,0.082380878,0.428871095
ENSG00000042062,-0.063297751,0.565821525
ENSG00000042088,0.353682485,0.005685077
ENSG00000042286,-0.68837605,1.80E-14
ENSG00000042317,0.273940835,0.014216868
ENSG00000042429,-0.171798509,0.089993131
ENSG00000042445,0.032892394,0.737221018
ENSG00000042493,0.002346424,0.98811174
ENSG00000042753,-0.209290159,0.020276117
ENSG00000042781,0.053738103,0.46770444
ENSG00000042832,-0.051000394,0.631473302
ENSG00000042980,-0.09733275,0.264008205
ENSG00000043093,-0.098246527,0.244460836
ENSG00000043143,-0.29055213,0.001652679
ENSG00000043514,0.042933749,0.715306293
ENSG00000044090,0.48358237,2.44E-07
ENSG00000044115,-0.098553922,0.280148068
ENSG00000044446,-0.238802939,0.021580289
ENSG00000044459,0.201079517,0.133003833
ENSG00000044524,-0.031591156,0.7621152
ENSG00000044574,-0.049719727,0.727720951
ENSG00000046604,0.01701144,0.695742335
ENSG00000046647,-0.033230591,0.778173209
ENSG00000046651,-0.026808698,0.833413594
ENSG00000046653,-2.011291373,0.000729735
ENSG00000046889,0.096112339,0.188778634
ENSG00000047056,-0.247188884,0.01852076
ENSG00000047188,-0.161227926,0.099923011
ENSG00000047230,0.013368606,0.912806853
ENSG00000047249,-0.044887067,0.649591123
ENSG00000047315,0.017547133,0.799545443
ENSG00000047346,0.037309487,0.76700999
ENSG00000047365,0.055905335,0.499390655
ENSG00000047410,0.013266473,0.860836319
ENSG00000047457,-0.11877738,0.276701365
ENSG00000047578,0.062533026,0.48983864
ENSG00000047579,-0.029800851,0.778867703
ENSG00000047617,-0.091311998,0.398751224
ENSG00000047621,0.290038002,0.026729892
ENSG00000047634,-0.182355035,0.114067928
ENSG00000047644,-0.27182688,0.026974308
ENSG00000047648,-0.017624208,0.889088686
ENSG00000047662,-0.034804542,0.65282445
ENSG00000047849,-0.126768,0.126350063
ENSG00000047932,0.171020032,0.012560834
ENSG00000047936,0.001079361,0.980153105
ENSG00000048028,-0.023386186,0.840476524
ENSG00000048052,0.389273853,0.007508795
ENSG00000048140,-0.204819136,0.036164959
ENSG00000048162,-0.425597693,0.009379041
ENSG00000048342,0.364787398,0.001153383
ENSG00000048392,0.064341498,0.412969147
ENSG00000048405,-0.344581967,0.001596695
ENSG00000048471,-0.316598144,0.049792048
ENSG00000048540,-1.160347171,0.000577173
ENSG00000048544,0.045466803,0.669426651
ENSG00000048545,0.113120288,0.116506953
ENSG00000048649,-0.000944257,0.978127035
ENSG00000048707,-0.584844392,0.000106304
ENSG00000048740,-0.866308071,1.22E-06
ENSG00000048828,-0.107216109,0.260294614
ENSG00000048991,0.194036745,0.05893773
ENSG00000049089,0.658087243,0.000364955
ENSG00000049130,0.038738276,0.754247838
ENSG00000049167,0.19818944,0.118261514
ENSG00000049192,0.159066804,0.257311887
ENSG00000049239,-0.327772486,0.009827608
ENSG00000049245,-0.139900696,0.113171098
ENSG00000049246,2.090992381,2.19E-14
ENSG00000049283,0.250362611,0.088599399
ENSG00000049323,-0.679283158,1.50E-12
ENSG00000049449,0.057495971,0.588192752
ENSG00000049540,-0.634940037,0.009548809
ENSG00000049541,0.287496006,0.034096071
ENSG00000049618,0.115298635,0.299266626
ENSG00000049656,-0.238099477,0.006399416
ENSG00000049759,1.016295725,2.46E-08
ENSG00000049768,-0.03343137,0.627546771
ENSG00000049769,0.140048171,0.279779707
ENSG00000049860,0.002936545,0.983167054
ENSG00000049883,0.204348707,0.105511706
ENSG00000050130,-0.022527864,0.825967596
ENSG00000050165,-0.185997242,0.145871059
ENSG00000050327,-0.009374121,0.93734564
ENSG00000050344,0.012537901,0.924456619
ENSG00000050393,-0.343294134,0.00993754
ENSG00000050405,0.139132524,0.323522491
ENSG00000050426,0.072361469,0.521335635
ENSG00000050438,0.101994204,0.42900807
ENSG00000050555,0.003577548,0.974170732
ENSG00000050628,0.232580232,0.059956487
ENSG00000050730,0.021584896,0.629719226
ENSG00000050748,0.01001183,0.889558998
ENSG00000050820,-0.118028204,0.34956509
ENSG00000051009,-0.022370698,0.80636601
ENSG00000051108,-0.729609654,1.71E-16
ENSG00000051128,0.141346364,0.236027961
ENSG00000051180,-0.492343385,0.022022977
ENSG00000051341,0.134928858,0.282099721
ENSG00000051382,-0.299344713,0.027381172
ENSG00000051523,-0.182900892,0.173659781
ENSG00000051596,0.113517661,0.386606808
ENSG00000051620,-0.391849581,5.21E-07
ENSG00000051825,0.397497665,0.000631606
ENSG00000052126,0.255356378,0.018926533
ENSG00000052723,0.045824345,0.580528772
ENSG00000052749,-0.030287442,0.805398041
ENSG00000052795,-0.140801744,0.233060933
ENSG00000052802,0.075698315,0.542393692
ENSG00000052841,0.088480951,0.305977853
ENSG00000052850,0.020168365,0.479055337
ENSG00000053254,-0.34745627,0.004113126
ENSG00000053328,0.101793584,0.22643143
ENSG00000053371,-0.077715043,0.387074724
ENSG00000053372,-0.218003333,0.047137173
ENSG00000053438,0.056732509,0.604880841
ENSG00000053501,0.148766343,0.156249849
ENSG00000053524,-0.058366266,0.452749102
ENSG00000053702,0.102121587,0.449420372
ENSG00000053747,-0.730030697,0.000727484
ENSG00000053770,0.001465207,0.987885772
ENSG00000053900,-0.027862295,0.744371288
ENSG00000054116,-0.080039525,0.317047239
ENSG00000054118,0.181679844,0.006311446
ENSG00000054148,0.136011356,0.309915672
ENSG00000054179,0.086609896,0.098542457
ENSG00000054219,-0.160308882,0.115754414
ENSG00000054267,0.083509305,0.331738279
ENSG00000054277,-0.613169757,0.003683986
ENSG00000054282,0.234884021,0.1139102
ENSG00000054356,0.085254715,0.348254121
ENSG00000054392,0.188686745,0.147032767
ENSG00000054523,-0.155997877,0.052653554
ENSG00000054598,0.097154022,0.465645319
ENSG00000054611,-0.028162095,0.738491961
ENSG00000054654,-0.100717451,0.45009535
ENSG00000054690,0.083012024,0.407621336
